Metric,Correlation with In-Basket Hours
msg_mar,1
msg_mar,0.6524959260374542
msg_mar,0.44774209221040995
msg_mar,0.3868908714771292
msg_mar,0.7873028185798057
msg_pcm,0.6524959260374542
msg_pcm,1
msg_pcm,0.1866120786776186
msg_pcm,0.7406841718247719
msg_pcm,0.5808969710819468
msg_res,0.44774209221040995
msg_res,0.1866120786776186
msg_res,1
msg_res,0.03520502165099333
msg_res,0.3118675249273156
msg_rxa,0.3868908714771292
msg_rxa,0.7406841718247719
msg_rxa,0.03520502165099333
msg_rxa,1
msg_rxa,0.45170872639393117
ib_hrs,0.7873028185798057
ib_hrs,0.5808969710819468
ib_hrs,0.3118675249273156
ib_hrs,0.45170872639393117
ib_hrs,1
